model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize,Make
EcoSport,2020,20000,Manual,558,Petrol,145,53.3,1,Ford
Polo,2016,13400,Manual,24379,Petrol,150,47,1.8,vw
Yeti Outdoor,2016,11607,Semi-Auto,32403,Petrol,125,51.4,1.2,skoda
Focus,2015,7495,Manual,56329,Diesel,0,74.3,1.5,Ford
Tiguan,2017,16771,Manual,32032,Diesel,125,58.9,2,vw
Tiguan,2016,14495,Manual,29265,Diesel,150,53.3,2,vw
Golf,2020,23999,Automatic,5000,Other,145,44.8,1.5,vw
EcoSport,2017,10299,Manual,30963,Petrol,125,52.3,1,Ford
3 Series,2020,42995,Automatic,7500,Petrol,145,33.6,3,BMW
Yaris,2019,11750,Manual,5496,Petrol,145,47.9,1.5,toyota
Fiesta,2015,5971,Manual,42344,Petrol,125,54.3,1.2,Ford
Citigo,2017,6791,Manual,25616,Petrol,150,64.2,1,skoda
T-Cross,2019,19590,Automatic,2305,Petrol,150,45.6,1,vw
Aygo,2018,7995,Manual,15895,Petrol,145,56.5,1,toyota
Kuga,2019,23000,Semi-Auto,4601,Diesel,150,38.7,2,Ford
Golf,2017,16989,Manual,41364,Diesel,145,60.1,2,vw
Amarok,2020,34995,Automatic,5000,Diesel,265,33.6,3,vw
RAV4,2016,19975,Automatic,56772,Hybrid,20,55.4,2.5,toyota
Q3,2017,16505,Manual,32895,Petrol,125,51.4,1.4,audi
IX35,2013,6990,Manual,72205,Diesel,145,53.3,1.7,Hyundai
Focus,2019,19499,Automatic,430,Petrol,145,51.4,1,Ford
Fiesta,2018,14157,Manual,6346,Petrol,145,60.1,1,Ford
A6,2019,36990,Automatic,6508,Diesel,145,39.2,3,audi
5 Series,2014,11495,Manual,65000,Diesel,125,57.6,2,BMW
A8,2018,38990,Automatic,2490,Petrol,145,37.7,3,audi
A3,2015,14298,Semi-Auto,43793,Diesel,125,61.4,2,audi
Focus,2019,26490,Manual,2903,Petrol,145,34.5,2.3,Ford
Octavia,2019,15290,Semi-Auto,10765,Petrol,145,54.3,1.5,skoda
3 Series,2018,16998,Semi-Auto,21879,Petrol,150,51.4,1.5,BMW
Focus,2016,7998,Manual,62985,Petrol,20,60.1,1,Ford
Golf,2019,14998,Manual,17464,Petrol,145,49.6,1,vw
Tiguan,2020,29990,Semi-Auto,282,Petrol,145,31.4,2,vw
3 Series,2017,16400,Automatic,66782,Other,140,134.5,2,BMW
Golf,2019,34995,Semi-Auto,9500,Petrol,150,36.2,2,vw
A5,2016,13100,Manual,44531,Diesel,20,67.3,2,audi
1 Series,2017,13995,Manual,22119,Diesel,150,68.9,2,BMW
Grand C-MAX,2014,6998,Manual,45460,Diesel,125,60.1,1.6,Ford
Fiesta,2018,9495,Manual,31564,Petrol,150,64.2,1.1,Ford
Fiesta,2016,8489,Manual,25320,Petrol,125,54.3,1.2,Ford
Polo,2018,11995,Manual,10839,Petrol,150,60.1,1,vw
Octavia,2019,14950,Semi-Auto,11566,Petrol,145,47.1,1.5,skoda
A8,2020,48490,Semi-Auto,1354,Diesel,145,39.2,3,audi
Fiesta,2017,10600,Manual,22676,Petrol,0,65.7,1,Ford
Yaris,2015,6995,Manual,33000,Petrol,0,66,1,toyota
Tiguan,2019,23995,Semi-Auto,7391,Diesel,145,46.3,2,vw
Octavia,2019,14995,Manual,13500,Petrol,150,55.4,1.5,skoda
4 Series,2016,12000,Automatic,117230,Diesel,30,65.7,2,BMW
Ioniq,2018,15980,Automatic,14585,Hybrid,140,78.5,1.6,Hyundai
2 Series,2018,24940,Semi-Auto,5577,Petrol,145,32.5,3,BMW
2 Series,2019,20263,Semi-Auto,5122,Petrol,145,53.3,1.5,BMW
Sharan,2019,22650,Automatic,15048,Diesel,145,41.5,2,vw
A5,2015,16500,Automatic,46125,Diesel,160,51.4,2,audi
Polo,2017,10084,Manual,24500,Petrol,20,60.1,1.2,vw
Focus,2017,9347,Manual,35013,Diesel,145,74.3,1.5,Ford
Kamiq,2019,20980,Automatic,200,Other,145,43.5,1.5,skoda
Tiguan,2017,16981,Manual,32752,Diesel,125,58.9,2,vw
Fabia,2019,13790,Manual,3584,Petrol,150,52.3,1,skoda
Q3,2019,35990,Automatic,6000,Diesel,145,47.1,2,audi
Focus,2019,16998,Manual,21480,Petrol,145,60.1,1,Ford
A4,2007,2675,Manual,125000,Petrol,305,34.9,2,audi
Fiesta,2004,2295,Manual,88936,Petrol,200,44.1,1.4,Ford
A3,2015,10500,Manual,46893,Diesel,20,68.9,2,audi
X2,2019,30266,Automatic,123,Diesel,145,58.9,2,BMW
4 Series,2019,23440,Semi-Auto,23,Diesel,145,65.7,2,BMW
I40,2016,12495,Semi-Auto,31339,Diesel,125,56.5,1.7,Hyundai
3 Series,2017,16970,Manual,24015,Diesel,125,60.1,2,BMW
Focus,2018,15475,Automatic,15751,Diesel,145,67.3,1.5,Ford
Kuga,2014,8500,Manual,72000,Diesel,145,53.3,2,Ford
Kuga,2016,18500,Manual,43100,Diesel,125,60.1,2,Ford
3 Series,2018,18480,Automatic,24043,Diesel,145,64.2,2,BMW
Fiesta,2018,9560,Manual,17319,Petrol,145,64.2,1.1,Ford
EcoSport,2019,15990,Manual,7750,Petrol,145,53.3,1,Ford
Golf,2019,27499,Automatic,5000,Petrol,145,37.7,2,vw
EcoSport,2018,14195,Manual,13616,Petrol,145,54.3,1,Ford
3 Series,2014,15690,Semi-Auto,45212,Diesel,150,54.3,3,BMW
Karoq,2019,21500,Manual,1939,Diesel,145,42.8,2,skoda
Aygo,2018,8695,Semi-Auto,17300,Petrol,145,67,1,toyota
Superb,2016,14125,Manual,24108,Diesel,20,68.9,2,skoda
Q3,2017,15790,Manual,39544,Petrol,125,51.4,1.4,audi
Sharan,2019,28490,Semi-Auto,6000,Diesel,145,41.5,2,vw
A1,2016,12291,Manual,26487,Petrol,30,55.4,1.4,audi
Focus,2018,16998,Manual,21284,Diesel,145,74.3,1.5,Ford
A4,2019,27991,Automatic,7600,Diesel,145,44.8,2,audi
Yaris,2017,9998,Manual,30241,Petrol,145,56.5,1.5,toyota
Focus,2018,19444,Automatic,8000,Diesel,145,64.2,2,Ford
Auris,2019,17995,Automatic,13250,Hybrid,135,65.6,1.8,toyota
A5,2014,14000,Manual,53460,Diesel,30,60.1,2,audi
Golf,2019,22990,Manual,1000,Petrol,145,45.6,1.5,vw
TT,2019,28795,Semi-Auto,12464,Petrol,145,34.9,2,audi
Octavia,2008,1500,Manual,110265,Diesel,145,54.3,1.9,skoda
Edge,2017,19495,Semi-Auto,48791,Diesel,150,47.9,2,Ford
Mondeo,2016,11491,Manual,47224,Diesel,0,74.3,1.5,Ford
M3,2005,10999,Manual,115000,Petrol,315,20.8,3.2,BMW
I20,2017,8982,Manual,9207,Petrol,145,55.4,1.2,Hyundai
I20,2019,10590,Manual,3417,Petrol,150,46.3,1.2,Hyundai
Fiesta,2016,8795,Manual,38886,Petrol,0,65.7,1,Ford
3 Series,2019,29995,Semi-Auto,3150,Petrol,145,42.2,2,BMW
Focus,2019,16498,Manual,2936,Petrol,145,60.1,1,Ford
EcoSport,2016,9998,Manual,32198,Petrol,125,52.3,1,Ford
Tucson,2019,17995,Manual,25,Petrol,145,34.9,1.6,Hyundai
Focus,2019,15000,Manual,4563,Petrol,145,60.1,1,Ford
Polo,2016,9499,Manual,30672,Petrol,20,60.1,1.2,vw
4 Series,2017,16600,Automatic,46913,Diesel,145,65.7,2,BMW
Fiesta,2017,8200,Manual,28810,Petrol,0,65.7,1,Ford
Corolla,2019,21995,Automatic,9333,Hybrid,135,78.5,1.8,toyota
Fiesta,2020,13750,Manual,1200,Petrol,145,56.5,1,Ford
Fiesta,2016,9699,Manual,23149,Petrol,20,62.8,1,Ford
EcoSport,2017,8690,Manual,51000,Diesel,145,64.2,1.5,Ford
Mondeo,2017,9000,Manual,87390,Diesel,30,65.7,2,Ford
4 Series,2019,30532,Automatic,8402,Petrol,145,41.5,3,BMW
Golf SV,2018,17695,Manual,9848,Petrol,145,55.4,1.5,vw
Kuga,2016,15225,Automatic,24653,Petrol,235,38.2,1.5,Ford
Auris,2017,14290,Automatic,30916,Hybrid,0,72.4,1.8,toyota
Kuga,2015,12327,Automatic,23905,Petrol,235,38.2,1.5,Ford
RAV4,2016,13995,Manual,71046,Diesel,125,60.1,2,toyota
Touran,2014,11395,Manual,13997,Diesel,125,61.4,1.6,vw
Polo,2020,16990,Manual,5000,Petrol,145,52.3,1,vw
Aygo,2016,7100,Manual,6425,Petrol,0,69,1,toyota
Fiesta,2018,10999,Automatic,30232,Petrol,145,48.7,1,Ford
Kona,2017,12710,Manual,6206,Petrol,145,52.3,1,Hyundai
Fiesta,2018,12448,Manual,13666,Petrol,145,56.5,1,Ford
S3,2016,20950,Semi-Auto,42000,Petrol,160,43.5,2,audi
Kuga,2017,15495,Manual,21000,Diesel,125,60.1,2,Ford
Focus,2019,17498,Manual,2714,Petrol,150,49.6,1,Ford
A5,2017,19945,Semi-Auto,49287,Diesel,145,62.8,2,audi
Up,2014,5602,Manual,45614,Petrol,0,68.9,1,vw
A5,2017,23000,Semi-Auto,22000,Diesel,145,60.1,3,audi
A3,2019,21990,Semi-Auto,7617,Petrol,150,42.2,1.5,audi
X4,2020,44899,Automatic,100,Petrol,145,26.9,3,BMW
T-Roc,2019,22990,Manual,8549,Other,145,50.4,2,vw
Tucson,2019,21490,Manual,101,Petrol,145,34.9,1.6,Hyundai
Q3,2019,28450,Manual,3544,Diesel,150,40.9,2,audi
Focus,2019,16700,Manual,5126,Petrol,150,58.9,1,Ford
Yaris,2013,9495,Automatic,38126,Hybrid,0,76.3,1.5,toyota
3 Series,2015,8500,Manual,71915,Diesel,20,68.9,2,BMW
Q5,2015,22485,Semi-Auto,38421,Diesel,205,47.1,2,audi
Tiguan,2016,14590,Manual,62000,Diesel,125,58.9,2,vw
C-HR,2018,20998,Automatic,27931,Hybrid,135,74.3,1.8,toyota
Aygo,2016,8000,Manual,16799,Petrol,0,69,1,toyota
Focus,2018,10500,Manual,28879,Petrol,145,60.1,1,Ford
Grand C-MAX,2017,10800,Manual,13809,Diesel,30,64.2,1.5,Ford
Golf,2013,9500,Semi-Auto,66208,Diesel,30,62.8,2,vw
Yaris,2017,9995,Manual,9662,Petrol,150,58.9,1.5,toyota
A7,2011,12950,Semi-Auto,72000,Petrol,300,34.4,3,audi
Kona,2019,15498,Manual,5630,Petrol,145,44.1,1,Hyundai
C-HR,2019,25991,Automatic,4500,Hybrid,135,74.3,1.8,toyota
Tiguan,2019,25995,Semi-Auto,2850,Petrol,145,37.7,1.5,vw
Yaris,2015,11750,Automatic,17250,Hybrid,0,76.3,1.5,toyota
Golf,2017,12999,Manual,22459,Petrol,30,53.3,1.4,vw
Yaris,2019,11298,Manual,9785,Petrol,145,47.9,1.5,toyota
Passat,2016,14995,Manual,20245,Diesel,20,68.9,2,vw
A3,2016,12900,Manual,21161,Diesel,20,67.3,2,audi
Fabia,2015,8580,Semi-Auto,23466,Petrol,20,60.1,1.2,skoda
Fiesta,2018,9000,Manual,49015,Petrol,145,65.7,1,Ford
Polo,2019,15799,Automatic,2275,Petrol,145,45.6,1,vw
X3,2014,15159,Automatic,77129,Diesel,145,54.3,2,BMW
Fiesta,2016,7375,Manual,54291,Petrol,0,65.7,1,Ford
Touareg,2019,43990,Automatic,6985,Diesel,145,34,3,vw
EcoSport,2019,16000,Manual,769,Petrol,150,53.3,1,Ford
Kona,2019,21000,Semi-Auto,634,Petrol,145,37.7,1.6,Hyundai
Fiesta,2019,15500,Manual,3754,Petrol,145,55.4,1,Ford
Tucson,2019,21750,Semi-Auto,100,Petrol,145,36.2,1.6,Hyundai
Kuga,2017,15295,Manual,23000,Diesel,150,54.3,2,Ford
Golf,2019,28576,Semi-Auto,6114,Petrol,145,32.8,2,vw
Tucson,2018,17495,Manual,17330,Petrol,145,38.7,1.6,Hyundai
Golf,2019,16590,Semi-Auto,15142,Diesel,145,54.3,1.6,vw
M4,2019,47898,Semi-Auto,5650,Petrol,145,32.5,3,BMW
Auris,2017,11290,Manual,12890,Petrol,150,51.4,1.2,toyota
Focus,2018,18700,Manual,16952,Diesel,145,67.3,2,Ford
Yaris,2015,7495,Manual,24000,Petrol,30,58,1.3,toyota
Golf,2018,21980,Semi-Auto,20377,Hybrid,135,156.9,1.4,vw
Golf,2017,14500,Manual,62465,Diesel,20,67.3,2,vw
3 Series,2020,30995,Semi-Auto,1501,Diesel,145,52.3,2,BMW
2 Series,2019,28640,Semi-Auto,4400,Petrol,145,46.3,2,BMW
Citigo,2017,6995,Manual,14326,Petrol,145,64.2,1,skoda
Passat,2017,13661,Manual,31632,Diesel,20,68.9,2,vw
Polo,2019,12191,Manual,19807,Petrol,150,48.7,1,vw
Golf,2017,18250,Manual,18500,Diesel,20,67.3,2,vw
Fabia,2017,9295,Manual,17065,Petrol,145,57.7,1,skoda
X1,2017,14600,Manual,39460,Diesel,150,68.9,2,BMW
C-MAX,2016,10890,Manual,15511,Diesel,20,68.9,1.5,Ford
Sharan,2018,23485,Semi-Auto,6196,Diesel,145,41.5,2,vw
A3,2016,11798,Manual,30864,Diesel,0,83.1,1.6,audi
Kuga,2017,15299,Semi-Auto,19978,Diesel,145,58.9,1.5,Ford
T-Roc,2020,25990,Automatic,3853,Petrol,145,39.8,1.5,vw
Golf,2016,18991,Semi-Auto,18072,Petrol,160,44.1,2,vw
Golf,2019,29555,Automatic,5254,Diesel,150,49.6,2,vw
Focus,2012,9799,Manual,54750,Petrol,235,39.2,2,Ford
Focus,2017,12199,Manual,17954,Diesel,150,74.3,1.5,Ford
Focus,2018,13000,Manual,24716,Diesel,150,74.3,1.5,Ford
Golf,2019,29999,Semi-Auto,8518,Petrol,150,32.8,2,vw
Focus,2019,14998,Manual,6564,Petrol,145,58.9,1,Ford
Tucson,2018,14995,Manual,10465,Petrol,145,44.8,1.6,Hyundai
Fiesta,2019,16299,Semi-Auto,8383,Petrol,145,48.7,1,Ford
Kuga,2016,11998,Manual,28989,Diesel,30,64.2,1.5,Ford
5 Series,2017,22998,Automatic,15838,Diesel,145,60.1,2,BMW
Octavia,2017,9400,Manual,22508,Petrol,20,62.8,1,skoda
T-Roc,2019,22420,Manual,6766,Diesel,145,50.4,1.6,vw
Focus,2017,12949,Automatic,21507,Petrol,145,46.3,1.5,Ford
Polo,2016,11695,Automatic,1700,Petrol,20,60.1,1.2,vw
A6,2019,31750,Automatic,9756,Diesel,145,45.6,2,audi
X4,2018,25980,Semi-Auto,21694,Diesel,150,54.3,2,BMW
Roomster,2014,5950,Manual,41498,Diesel,125,60.1,1.6,skoda
Q3,2019,29995,Automatic,10501,Diesel,145,38.7,2,audi
A6,2019,37000,Semi-Auto,2271,Petrol,145,34,2,audi
1 Series,2019,22995,Manual,1000,Petrol,145,44.1,1.5,BMW
Golf,2016,11950,Automatic,41725,Petrol,30,53.3,1.4,vw
1 Series,2017,13831,Manual,20112,Petrol,150,53.3,1.5,BMW
Superb,2019,31972,Semi-Auto,2502,Petrol,145,30.1,2,skoda
Golf,2014,8990,Manual,40413,Diesel,0,68.9,1.6,vw
5 Series,2019,30000,Automatic,6000,Diesel,145,60.1,2,BMW
Golf SV,2017,12790,Semi-Auto,22501,Petrol,30,54.3,1.4,vw
Q3,2017,18244,Manual,21916,Petrol,125,51.4,1.4,audi
Fiesta,2018,10100,Manual,38902,Petrol,145,56.5,1,Ford
Octavia,2019,12540,Manual,14068,Diesel,145,68.9,1.6,skoda
Fiesta,2017,8750,Manual,17899,Petrol,0,65.7,1,Ford
Citigo,2014,4295,Manual,19367,Petrol,0,68.9,1,skoda
A6,2016,24990,Automatic,32000,Diesel,165,50.4,3,audi
I30,2018,9017,Manual,30287,Petrol,145,56.5,1,Hyundai
4 Series,2017,16900,Automatic,19834,Diesel,145,65.7,2,BMW
Golf,2019,17990,Manual,7553,Petrol,145,47.1,1.5,vw
Yaris,2017,11980,Automatic,15597,Petrol,150,60.1,1.5,toyota
Fiesta,2018,12500,Manual,4583,Petrol,150,65.7,1,Ford
Octavia,2019,20995,Manual,5797,Diesel,145,62.8,2,skoda
Polo,2018,12195,Manual,17576,Petrol,150,64.2,1,vw
Kuga,2009,6295,Manual,54094,Diesel,235,44.1,2,Ford
Golf,2019,14995,Manual,11170,Diesel,145,57.7,1.6,vw
Octavia,2016,10000,Semi-Auto,63402,Diesel,30,64.2,2,skoda
3 Series,2014,13200,Automatic,58436,Diesel,145,56.5,2,BMW
Aygo,2020,10795,Semi-Auto,4569,Petrol,150,56.5,1,toyota
Q5,2019,33480,Automatic,11999,Diesel,150,38.2,2,audi
Fiesta,2017,9995,Manual,9148,Petrol,145,65.7,1,Ford
Golf,2020,32442,Automatic,6530,Petrol,150,32.8,2,vw
Kuga,2019,19499,Manual,6689,Petrol,150,35.3,1.5,Ford
I800,2018,15498,Manual,37485,Diesel,145,28,2.5,Hyundai
3 Series,2015,13999,Manual,40430,Diesel,145,56.5,2,BMW
A4,2019,27495,Semi-Auto,3000,Petrol,145,38.7,2,audi
Fabia,2019,13995,Manual,500,Petrol,145,51.4,1,skoda
Up,2019,9995,Manual,4000,Petrol,145,54.3,1,vw
Fiesta,2015,7189,Manual,28101,Petrol,125,54.3,1.2,Ford
Fabia,2017,9495,Manual,17963,Petrol,145,64.2,1,skoda
Fiesta,2019,17500,Manual,9200,Petrol,150,40.3,1.5,Ford
A3,2017,19990,Semi-Auto,30181,Petrol,150,49.6,2,audi
1 Series,2019,28980,Automatic,3855,Diesel,145,48.7,2,BMW
A4,2015,13351,Manual,39652,Diesel,0,74.3,2,audi
4 Series,2019,28980,Semi-Auto,3169,Diesel,150,53.3,3,BMW
A6,2016,13250,Automatic,76788,Diesel,30,61.4,2,audi
Ioniq,2018,18480,Automatic,19000,Hybrid,135,78.5,1.6,Hyundai
5 Series,2015,14000,Semi-Auto,52281,Diesel,30,62.8,2,BMW
A3,2020,34990,Semi-Auto,6000,Petrol,145,34.5,2,audi
S-MAX,2017,16250,Manual,36500,Diesel,125,56.5,2,Ford
Yaris,2018,14995,Automatic,10099,Hybrid,135,76.3,1.5,toyota
1 Series,2015,10495,Manual,27000,Diesel,0,78.5,1.5,BMW
Golf,2018,20995,Manual,10934,Diesel,150,60.1,2,vw
Golf,2016,16916,Automatic,30970,Diesel,30,62.8,2,vw
1 Series,2012,10995,Manual,28000,Diesel,125,58.9,2,BMW
Polo,2019,11995,Manual,11369,Petrol,145,48.7,1,vw
Fiesta,2017,8500,Manual,22637,Petrol,0,65.7,1,Ford
X1,2019,24449,Semi-Auto,5336,Diesel,145,60.1,2,BMW
Fiesta,2017,9400,Manual,27768,Petrol,150,64.2,1.1,Ford
Fabia,2016,6495,Manual,22011,Petrol,20,60.1,1,skoda
Golf,2019,17298,Manual,7574,Petrol,145,47.1,1.5,vw
Octavia,2018,14695,Semi-Auto,7318,Petrol,145,56.5,1.4,skoda
Q2,2019,22800,Manual,3902,Petrol,145,43.5,1.5,audi
A1,2016,11300,Manual,24426,Diesel,0,76.3,1.6,audi
Yeti Outdoor,2017,13995,Semi-Auto,15000,Petrol,125,51.4,1.2,skoda
X2,2019,26972,Automatic,123,Petrol,145,38.7,2,BMW
Fiesta,2017,10499,Manual,11825,Petrol,145,65.7,1,Ford
2 Series,2019,19980,Manual,3459,Petrol,145,42.2,1.5,BMW
4 Series,2015,21149,Semi-Auto,29627,Diesel,160,49.6,3,BMW
A6,2019,29000,Automatic,14,Diesel,145,47.9,2,audi
Kuga,2017,15499,Semi-Auto,64315,Diesel,145,54.3,2,Ford
Fabia,2016,7000,Manual,29089,Petrol,20,58.8,1,skoda
A3,2015,9000,Manual,61220,Diesel,0,83.1,1.6,audi
RAV4,2013,9495,Manual,55389,Diesel,125,57.6,2,toyota
EcoSport,2018,14990,Manual,2605,Petrol,145,53.3,1,Ford
Q3,2017,22003,Semi-Auto,11906,Petrol,145,47.9,1.4,audi
Passat,2019,23995,Semi-Auto,11000,Petrol,145,39.2,1.5,vw
3 Series,2016,14800,Automatic,38838,Diesel,125,57.6,2,BMW
Kuga,2015,12434,Automatic,30970,Diesel,150,52.3,2,Ford
Galaxy,2017,19200,Manual,40206,Diesel,125,56.5,2,Ford
2 Series,2019,26910,Automatic,1250,Diesel,145,65.7,2,BMW
Tiguan,2015,11491,Manual,39500,Diesel,165,48.7,2,vw
4 Series,2017,18850,Automatic,26498,Diesel,145,65.7,2,BMW
Tiguan,2018,19740,Manual,9188,Petrol,145,46.3,1.4,vw
5 Series,2017,16400,Automatic,39728,Diesel,125,60.1,2,BMW
3 Series,2020,36650,Automatic,4500,Diesel,145,49.6,2,BMW
Aygo,2016,7500,Manual,37688,Petrol,0,69,1,toyota
Q7,2017,32995,Semi-Auto,31100,Diesel,150,47.9,3,audi
Golf,2017,17300,Manual,32934,Diesel,145,60.1,2,vw
Fiesta,2014,8750,Manual,35315,Petrol,0,65.7,1,Ford
Ka+,2018,8500,Manual,5819,Petrol,145,57.7,1.2,Ford
6 Series,2016,19899,Automatic,50475,Diesel,200,49.6,3,BMW
3 Series,2016,10591,Manual,62674,Diesel,20,72.4,2,BMW
Golf,2017,22495,Semi-Auto,4500,Petrol,145,44.1,2,vw
Ioniq,2018,17298,Automatic,6443,Hybrid,135,78.5,1.6,Hyundai
Fiesta,2018,11000,Manual,22845,Petrol,145,56.5,1,Ford
Golf,2016,19990,Semi-Auto,33833,Petrol,160,44.1,2,vw
Fiesta,2019,13210,Manual,11078,Petrol,145,55.4,1,Ford
Focus,2017,10660,Manual,25453,Petrol,20,61.4,1,Ford
Tiguan,2013,9230,Semi-Auto,58297,Diesel,200,47.7,2,vw
I10,2017,6750,Manual,37972,Petrol,145,57.7,1.2,Hyundai
A4,2016,18498,Semi-Auto,29845,Petrol,160,45.6,2,audi
A4,2020,42840,Semi-Auto,5233,Diesel,145,39.2,3,audi
Focus,2014,8940,Automatic,29192,Petrol,160,44.8,1.6,Ford
Q5,2016,21498,Semi-Auto,20547,Diesel,200,47.1,2,audi
Q3,2019,35985,Automatic,650,Diesel,145,47.1,2,audi
Golf,2017,17995,Manual,21963,Diesel,20,67.3,2,vw
Focus,2016,13500,Manual,32643,Diesel,20,67.3,2,Ford
Tiguan,2019,28990,Semi-Auto,12000,Diesel,145,39.8,2,vw
2 Series,2018,15297,Automatic,9754,Petrol,145,40.9,1.5,BMW
Tucson,2017,12998,Manual,6318,Petrol,160,44.8,1.6,Hyundai
Tucson,2016,10798,Manual,29019,Petrol,160,44.8,1.6,Hyundai
Kuga,2019,17700,Manual,5519,Diesel,145,45.6,1.5,Ford
4 Series,2015,16678,Semi-Auto,37041,Diesel,125,57.6,2,BMW
Citigo,2016,8500,Automatic,9888,Petrol,20,64.2,1,skoda
Focus,2016,9490,Manual,59249,Petrol,20,60.1,1,Ford
Superb,2018,14990,Manual,13340,Petrol,150,54.3,1.4,skoda
Focus,2016,9000,Manual,29586,Petrol,20,61.4,1,Ford
Q7,2018,52495,Automatic,24439,Diesel,145,39.2,4,audi
Focus,2016,10790,Automatic,32294,Diesel,0,74.3,1.5,Ford
Sharan,2016,16940,Automatic,47612,Diesel,145,53.3,2,vw
X2,2018,23995,Semi-Auto,21271,Diesel,145,58.9,2,BMW
5 Series,2016,15699,Automatic,34609,Diesel,30,62.8,2,BMW
Q7,2019,56900,Semi-Auto,1478,Diesel,145,32.1,3,audi
Golf,2019,29991,Semi-Auto,9219,Petrol,150,32.8,2,vw
Fiesta,2018,13084,Manual,5681,Petrol,145,65.7,1,Ford
Golf,2015,16998,Manual,43417,Petrol,200,39.8,2,vw
Fiesta,2017,9160,Manual,8984,Petrol,145,64.2,1.1,Ford
Touran,2017,14998,Manual,44609,Diesel,145,64.2,2,vw
Q2,2019,20640,Manual,4199,Diesel,145,49.6,1.6,audi
Fiesta,2016,7220,Manual,50211,Diesel,0,88.3,1.5,Ford
Fiesta,2019,13799,Manual,14389,Petrol,145,55.4,1,Ford
Fiesta,2015,8500,Semi-Auto,25047,Petrol,0,57.7,1,Ford
1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3,BMW
Golf,2017,17500,Manual,21786,Diesel,145,60.1,2,vw
X1,2010,6495,Manual,87300,Diesel,165,49.6,2,BMW
Verso,2016,11690,Manual,28212,Petrol,200,41.5,1.6,toyota
Up,2016,8495,Manual,12695,Petrol,20,61.4,1,vw
Focus,2016,9990,Automatic,23700,Petrol,165,44.8,1.6,Ford
Auris,2017,15495,Automatic,17707,Hybrid,0,78.5,1.8,toyota
Fiesta,2019,11591,Manual,7781,Petrol,150,55.4,1.1,Ford
Aygo,2016,5950,Manual,36189,Petrol,0,69,1,toyota
Focus,2017,12295,Manual,23016,Petrol,145,51.4,1.5,Ford
Golf,2018,18495,Manual,16000,Diesel,145,60.1,2,vw
Yaris,2020,13990,Manual,2114,Petrol,145,47.9,1.5,toyota
Golf SV,2019,20295,Manual,9999,Diesel,145,55.4,1.6,vw
Octavia,2017,11490,Manual,26607,Petrol,30,55.4,1.4,skoda
Fiesta,2014,7360,Manual,46059,Petrol,0,65.7,1,Ford
Aygo,2019,7299,Manual,10159,Petrol,145,56.5,1,toyota
EcoSport,2018,14550,Manual,4236,Petrol,145,53.3,1,Ford
Yaris,2017,9695,Manual,15300,Petrol,145,58.9,1.5,toyota
Golf,2015,10698,Manual,35315,Petrol,30,53.3,1.4,vw
I30,2019,17970,Manual,3000,Petrol,150,44.8,1.4,Hyundai
Aygo,2019,8480,Manual,5976,Petrol,145,56.5,1,toyota
Kuga,2015,9600,Manual,52990,Diesel,125,60.1,2,Ford
Octavia,2018,13294,Manual,16915,Diesel,145,68.9,1.6,skoda
Fiesta,2016,7438,Manual,42701,Petrol,125,54.3,1.2,Ford
3 Series,2020,36990,Semi-Auto,2475,Petrol,145,40.4,2,BMW
I30,2017,10999,Manual,18539,Diesel,145,78.4,1.6,Hyundai
Fiesta,2016,8000,Manual,23944,Petrol,125,54.3,1.2,Ford
Fiesta,2019,14500,Manual,10603,Petrol,150,55.4,1,Ford
Kuga,2017,13800,Manual,24510,Diesel,145,64.2,1.5,Ford
Golf,2019,16895,Manual,3981,Diesel,145,57.7,1.6,vw
X5,2019,51890,Automatic,5980,Diesel,145,37.7,3,BMW
3 Series,2019,21995,Semi-Auto,18000,Diesel,145,62.8,2,BMW
4 Series,2017,20320,Automatic,16876,Diesel,125,58.9,2,BMW
T-Roc,2018,21495,Manual,9287,Petrol,145,53.3,1.5,vw
Fiesta,2019,17000,Semi-Auto,6450,Petrol,145,48.7,1,Ford
IX20,2019,14750,Manual,100,Petrol,145,37.2,1.6,Hyundai
A6,2019,29200,Automatic,9328,Diesel,145,50.4,2,audi
Polo,2014,8229,Manual,40736,Diesel,0,60.1,1.4,vw
Golf,2015,13570,Manual,50624,Diesel,20,67.3,2,vw
I10,2017,7300,Manual,15594,Petrol,20,60.1,0,Hyundai
Aygo,2016,8995,Manual,18200,Petrol,0,69,1,toyota
Touareg,2017,23750,Automatic,20786,Diesel,235,42.8,3,vw
3 Series,2019,24995,Semi-Auto,7585,Petrol,150,47.9,2,BMW
5 Series,2019,30995,Semi-Auto,1000,Diesel,145,60.1,2,BMW
Touran,2016,14995,Manual,28136,Diesel,30,64.2,1.6,vw
Fiesta,2018,10640,Manual,30000,Petrol,145,57.7,1,Ford
6 Series,2015,20172,Semi-Auto,37175,Diesel,160,49.6,3,BMW
Kuga,2018,15695,Manual,19182,Diesel,145,64.2,1.5,Ford
Kona,2019,22995,Automatic,7635,Hybrid,135,52.3,1.6,Hyundai
Polo,2016,8495,Manual,38334,Petrol,20,58.9,1,vw
A4,2019,23755,Manual,6623,Petrol,145,38.7,2,audi
Up,2019,10000,Manual,4786,Petrol,145,52.3,1,vw
